code	name	latitude	longitude	nuts2_region
DK011	Byen København	55.61111592	12.59840382	DK01
DK012	Københavns omegn	55.66098406	12.3885576	DK01
DK013	Nordsjælland	55.97239387	12.27937981	DK01
DK014	Bornholm	55.12789092	14.8836754	DK01
DK021	Østsjælland	55.54415661	12.06527713	DK02
DK022	Vest- og Sydsjælland	55.41305103	11.5746375	DK02
DK031	Fyn	55.23531386	10.45714094	DK03
DK032	Sydjylland	55.56316692	9.02846054	DK03
DK041	Vestjylland	56.18780543	8.73661729	DK04
DK042	Østjylland	56.1071088	9.81621671	DK04
DK043	Nordjylland	57.30715928	10.11282907	DK05
