n.name,,Disambiguity
Bavne Ager,7431,
Plejecenter Trekroner,7160,
Plejecenter Sølund,9169,
Sandmarksbo,,?
Antvorskov - det selvejende plejecenter,9160,comment
Plejecenter Egeparken,,There are two - Nyborg and Ølstykke
Plejecentret Sjælsø,9311,
Plejecenter Solvang,8269,
Plejecenter - Møllebakken,7362,
Plejecentret Valdemarsgade,8402,
Demenscenter Skovgården,9191,
Filskov Friplejehjem,7981,
Seniorcenter Rosenlund,7134,
Dronning Anne-Marie Centret,7104,
Lyngvejs Ældrecenter,9106,
Plejecenter Egely,7187,
Demens-landsbyen Grøndalshusene,7379,
Birkebo,8985,
Jægersborghave,7112,
OK Lystoftebakken,7123,
Plejecenter Solgaven,,There are three
Plejehjemmet Falkenberg,7442,
Plejehjemmet Birkebo,8985,
Den selvejende institution i Hornbæk Plejehjemmet Bøgehøjgård,7441,
Vendelbocentret,8459,
Ålholmhjemmet,7467,
Lille Birkholm Center,9074,
Plejecentret Støberiet,8402,
Plejecenter Samsøvej,7274,
Højstruphave,7149,
Kastanjehaven,7983,
Plejecenter Slaglille plejeboliger,7390,
